"listing_id","description","host_id","host_name","nbhood_full","coordinates","room_type","price","nb_reviews","last_review","reviews_per_month","availability_365","avg_rating","avg_stays_per_month","pct_5_stars","listing_added"
13740704,"Cozy,budget friendly, cable inc, private entrance!",20583125,"Michel","Brooklyn, Flatlands","(40.63222, -73.93398)","Private room","$45",10,"12/12/2018",0.7,85,4.10095356865049,12,0.609431504712849,"06/08/2018"
22005115,"Two floor apartment near Central Park",82746113,"Cecilia","Manhattan, Upper West Side","(40.78761, -73.96862)","Entire home/apt","$135",1,"06/30/2019",1,145,3.36759984148828,1.2,0.746134590410589,"12/25/2018"
21667615,"Beautiful 1BR in Brooklyn Heights",78251,"Leslie","Brooklyn, Brooklyn Heights","(40.7007, -73.99517)","Entire home/apt","$150",0,NA,NA,65,NA,NA,NA,"08/15/2018"
6425850,"Spacious, charming studio",32715865,"Yelena","Manhattan, Upper West Side","(40.79169, -73.97498)","Entire home/apt","$86",5,"09/23/2017",0.13,0,4.76320299429773,6,0.769947078176618,"03/20/2017"
22986519,"Bedroom on the lively Lower East Side",154262349,"Brooke","Manhattan, Lower East Side","(40.71884, -73.98354)","Private room","$160",23,"06/12/2019",2.29,102,3.82259062804223,27.6,0.649383069357112,"10/23/2020"
271954,"Beautiful brownstone apartment",1423798,"Aj","Manhattan, Greenwich Village","(40.73388, -73.99452)","Entire home/apt","$150",203,"06/20/2019",2.22,300,4.47839648533781,243.6,0.743499699408846,"12/15/2018"
33473567,"Hamilton Heights Full Floor Garden Apt",33388853,"Christine","Manhattan, Harlem","(40.8309, -73.94308000000002)","Entire home/apt","$200",0,NA,NA,219,NA,NA,NA,"05/05/2018"
14218742,"Luxury/3bedroom/3bthrm/Privateprkng/beach/rstrnts",78824908,"Ilona","Brooklyn, Sheepshead Bay","(40.58531, -73.93811)","Entire home/apt","$224",2,"06/22/2018",0.08,353,4.09122840762499,2.4,0.690393314304365,"12/17/2017"
15125599,"Beautiful One Bedroom Apartment Near Central Park",3191545,"Kyle","Manhattan, Theater District","(40.761, -73.98522)","Entire home/apt","$169",5,"06/25/2017",0.15,365,3.56294667945445,6,0.704537986778329,"12/20/2016"
24553891,"Enjoy all of Manhattan. Big Apple! A Mini-MOMA!",68557372,"Shannon","Manhattan, Harlem","(40.80667, -73.95182)","Entire home/apt","$75",8,"04/24/2019",0.66,9,4.6957687858684,9.6,0.750073415602654,"10/19/2018"
